Suburb,Offence,Alcohol,2014,2015,2016,2017,2018
Alfords Point,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Alfords Point,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Alfords Point,Offensive language ,Alcohol Related ,0,0,0,0,0
Alfords Point,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Alfredtown,Domestic violence related assault ,Alcohol Related ,0,3,0,0,0
Alfredtown,Domestic violence related assault ,Not Alcohol Related ,2,1,0,0,0
Alfredtown,Non-domestic violence related assault ,Alcohol Related ,0,1,0,0,0
Alfredtown,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Alfredtown,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Alfredtown,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Alfredtown,Offensive language ,Alcohol Related ,0,0,0,0,0
Alfredtown,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Alison (Central Coast),Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Alison (Central Coast),Domestic violence related assault ,Not Alcohol Related ,0,1,0,0,0
Alison (Central Coast),Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Alison (Central Coast),Non-domestic violence related assault ,Not Alcohol Related ,0,0,1,1,0
Alison (Central Coast),Offensive conduct ,Alcohol Related ,0,0,0,0,0
Alison (Central Coast),Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Alison (Central Coast),Offensive language ,Alcohol Related ,0,0,0,0,0
Alison (Central Coast),Offensive language ,Not Alcohol Related ,0,1,0,0,0
Alison (Dungog),Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Alison (Dungog),Domestic violence related assault ,Not Alcohol Related ,0,0,0,1,0
Alison (Dungog),Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Alison (Dungog),Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Alison (Dungog),Offensive conduct ,Alcohol Related ,0,0,0,0,0
Alison (Dungog),Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Alison (Dungog),Offensive language ,Alcohol Related ,0,0,0,0,0
Alison (Dungog),Offensive language ,Not Alcohol Related ,0,0,0,0,0
Allambie Heights,Domestic violence related assault ,Alcohol Related ,2,2,6,6,6
Allambie Heights,Domestic violence related assault ,Not Alcohol Related ,4,3,4,5,10
Allambie Heights,Non-domestic violence related assault ,Alcohol Related ,1,2,0,2,3
Allambie Heights,Non-domestic violence related assault ,Not Alcohol Related ,2,5,0,3,4
Allambie Heights,Offensive conduct ,Alcohol Related ,0,0,0,0,1
Allambie Heights,Offensive conduct ,Not Alcohol Related ,0,0,2,0,0
Allambie Heights,Offensive language ,Alcohol Related ,0,0,0,0,0
Allambie Heights,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Allandale,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Allandale,Domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Allandale,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Allandale,Non-domestic violence related assault ,Not Alcohol Related ,0,1,2,0,0
Allandale,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Allandale,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Allandale,Offensive language ,Alcohol Related ,0,0,0,0,0
Allandale,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Allawah,Domestic violence related assault ,Alcohol Related ,4,3,2,3,1
Allawah,Domestic violence related assault ,Not Alcohol Related ,12,7,12,10,11
Allawah,Non-domestic violence related assault ,Alcohol Related ,2,3,3,1,2
Allawah,Non-domestic violence related assault ,Not Alcohol Related ,2,3,0,1,1
Allawah,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Allawah,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Allawah,Offensive language ,Alcohol Related ,0,0,0,0,0
Allawah,Offensive language ,Not Alcohol Related ,0,0,0,0,1
